"id","departamento","grupo","descricao","precounitario","code"
586,"carnes","churrasco","coração de frango resfriado agrosul 700g","40.29","cc019"
587,"carnes","frango","coração de frango resfriado agrosul 700g","40.29","cf014"
588,"limpeza","roupas","corda varal esfrebom bettanin 10 metros","7.50","lr036"
589,"bebidas","vinhos","corta gotas preto biovin","14.90","bv055"
590,"higiene e beleza","mãos e pés","cortador de unha pés e mãos mundial flex com corrente","9.50","hbmp001"
591,"carnes","suinas","costela congelada com osso seara gourmet 1kg","89.90","cs003"
592,"carnes","bovina","costela corte especial gaúcha 1kg","49.27","cb022"
593,"carnes","churrasco","costela corte especial gaúcha 1kg","49.27","cc032"
594,"carnes","churrasco","costela suína borrússia 500g","19.49","cc038"
595,"carnes","suinas","costela suína borrússia 500g","19.49","cs025"
596,"higiene e beleza","higiene","cotonete hastes flexíveis bellacotton 75 unidades","4.50","hbh027"
597,"higiene e beleza","higiene","cotonete hastes flexíveis minion pote cremer 150 unidades","13.65","hbh016"
598,"higiene e beleza","higiene","cotonetes hastes flexíveis bella cotton com 50 unidades baby","11.90","hbh015"
599,"mercearia","grãos e farináceos","couscous paganini 500g","21.90","mgf021"
600,"hortifruti","verduras","couve hidropônica unidade","4.89","hv019"
601,"hortifruti","verduras","couve higienizada juliana saudável 200g","6.50","hv021"
602,"carnes","frango","coxa e sobrecoxa de frango resfriado agrosul 700g","13.99","cf033"
603,"carnes","bovina","coxão dentro 500g","26.99","cb031"
604,"carnes","bovina","coxão fora bovino 500g","27.83","cb024"
605,"carnes","frango","coxas com alho, cebola e ervas assa fácil perdigão 1,2kg","23.95","cf001"
606,"carnes","frango","coxas de frango resfriado agrosul 700g","10.99","cf022"
607,"congelados","carnes aves e peixes","coxas temperadas frango fácil sadia 800g","16.49","ccap008"
608,"carnes","frango","coxas temperadas frango fácil sadia 800g","16.49","cf005"
609,"carnes","frango","coxinha de frango resfriada agrosul 700g","12.99","cf025"
610,"carnes","frango","coxinhas das asas com alho, cebola e ervas assa fácil perdigão 1kg","23.49","cf004"
611,"frios e laticínios","derivados de queijo","cream cheese philadelphia light 150g","13.50","fldq010"
612,"frios e laticínios","derivados de queijo","cream cheese philadelphia light 300g","24.29","fldq044"
613,"frios e laticínios","derivados de queijo","cream cheese philadelphia original 150g","13.50","fldq011"
614,"frios e laticínios","derivados de queijo","cream cheese philadelphia original 300g","24.59","fldq045"
615,"frios e laticínios","derivados de queijo","cream cheese polengui aerado 250g","17.19","fldq014"
616,"frios e laticínios","derivados de queijo","cream cheese polengui light 300g","17.70","fldq013"
617,"mercearia","massas e molhos","creme de alcachofra paganini 130g","24.90","mmm018"
618,"mercearia","doces e sobremesas","creme de aveia flormel crocante de avela zero 150g","25.95","mds011"
619,"higiene e beleza","homem","creme de barbear bozzano men refrescante 65g","10.90","hbhm018"
620,"higiene e beleza","homem","creme de barbear nivea 2 em 1 men sensitive 65g","18.95","hbhm015"
621,"higiene e beleza","homem","creme de barbear QOD 150g","34.90","hbhm002"
622,"mercearia","sopas e cremes","creme de cebola vono 58g","6.30","msc013"
623,"mercearia","ingredientes","creme de leite elege 200g","3.29","mi038"
624,"frios e laticínios","leite","creme de leite pasteurizado RAR 500g","34.90","fll005"
625,"mercearia","ingredientes","creme de leite pasteurizado RAR 500g","34.90","mi013"
626,"higiene e beleza","bebê e infantil","creme de pentear palmolive naturals kids 300ml","24.49","hbbi005"
627,"mercearia","sopas e cremes","creme de queijo maggi 78g","6.50","msc010"
628,"frios e laticínios","derivados de queijo","creme de queijo minas frescal tirolez light 200g","10.19","fldq001"
629,"frios e laticínios","derivados de queijo","creme de queijo minas tirolez zero lactose 130g","9.19","fldq034"
630,"mercearia","sopas e cremes","creme de queijo vono 53g","6.30","msc011"
631,"frios e laticínios","derivados de queijo","creme de ricota light président 200g","7.95","fldq055"
632,"frios e laticínios","derivados de queijo","creme de ricota polengui light 150g","9.95","fldq018"
633,"frios e laticínios","derivados de queijo","creme de ricota santa clara 200g","9.30","fldq007"
634,"frios e laticínios","derivados de queijo","creme de ricota tirolez light 200g","10.49","fldq019"
635,"frios e laticínios","derivados de queijo","creme de ricota tirolez zero lactose 150g","10.49","fldq016"
636,"mercearia","alimentos especiais","creme de ricota tirolez zero lactose 150g","10.49","mae078"
637,"frios e laticínios","derivados de queijo","creme de ricota tradicional président 200g","7.95","fldq008"
638,"higiene e beleza","higiene","creme dental closeup liquifresh ice 100g","8.50","hbh028"
639,"higiene e beleza","higiene","creme dental colgate luminouse white carvão ativado 70g","15.80","hbh036"
640,"higiene e beleza","higiene","creme dental dentil carbox gel dental 70g","28.90","hbh007"
641,"higiene e beleza","higiene","creme dental tandy uva 50g","12.00","hbh038"
642,"higiene e beleza","mulher","creme facial nivea antissinais 100g","42.90","hbm011"
643,"higiene e beleza","mãos e pés","creme facial nivea nutritivo 100g","42.90","hbmp002"
644,"higiene e beleza","corpo","creme hidratante paixão inspiradora 200 ml","13.95","hbc001"
645,"higiene e beleza","mulher","creme nivea lata azul 56g","19.90","hbm005"
646,"frios e laticínios","derivados de queijo","creme ricota ervas finas santa clara 200g","9.50","fldq005"
647,"frios e laticínios","derivados de queijo","creme ricota lac lelo 200g","7.49","fldq036"
648,"frios e laticínios","derivados de queijo","creme ricota original tirolez 200g","5.99","fldq006"
649,"frios e laticínios","manteiga e margarina","creme vegetal becel ômega 6 original sem sal 500g","13.80","flmm008"
650,"frios e laticínios","manteiga e margarina","creme vegetal becel sem sal ômega 6 250g","7.35","flmm005"
651,"carnes","peixes e crustáceos","croquete bacalhau frumar congelado 380g","38.90","cpc016"
652,"padaria","pães","crostata italiana lemon pepper viterale 165g","14.90","pp026"
653,"padaria","pães","crostata italiana tradicional viterale 165g","14.90","pp027"
654,"mercearia","biscoito e salgadinhos","crostini com sal marinho e alecrim la pastina 200g","18.50","mbs021"
655,"mercearia","biscoito e salgadinhos","crostini tradicional 200g la pastina","18.50","mbs022"
656,"higiene e beleza","higiene","curativo baby shark cremer 10 unidades","6.99","hbh030"
657,"higiene e beleza","higiene","curativo band-aid transparente 40 unidades","19.50","hbh032"
658,"higiene e beleza","higiene","curativo tradicional transparente cremer com 10 unidades","3.69","hbh004"
659,"higiene e beleza","higiene","curativo transparente cremer com 40 unidades","13.00","hbh020"
660,"higiene e beleza","higiene","curativos transparentes band-aid 10 unidades","9.20","hbh031"
661,"mercearia","temperos e condimentos","curry bombay vidro 50g","27.90","mtc012"
662,"mercearia","grãos e farináceos","damasco turco jtc 180g","20.79","mgf005"
663,"limpeza","cozinha","desengordurante mr. músculo cozinha laranja 30% desconto 500ml","30.95","lcz066"
664,"limpeza","banheiro","desengordurante mr. músculo cozinha total laranja refil 20% desconto 400ml","16.95","lb026"
665,"limpeza","cozinha","desengordurante mr. músculo cozinha total laranja refil 500ml","22.69","lcz067"
666,"limpeza","cozinha","desengordurante mr. músculo cozinha total limão refil 500ml","17.90","lcz062"
667,"limpeza","cozinha","desengordurante mr. músculo laranja cozinha rf 500ml","9.70","lcz061"
668,"limpeza","cozinha","desengordurante veja cozinha laranja refil 400ml","15.49","lcz009"
669,"limpeza","cozinha","desengordurante veja gold limão 500ml","14.90","lcz047"
670,"limpeza","banheiro","desengordurante veja laranja refil 500ml","25.19","lb005"
671,"limpeza","cozinha","desengordurante veja laranja refil 500ml","25.19","lcz003"
672,"limpeza","casa","desentupidor bettanin turbo","27.95","lc008"
673,"limpeza","casa","desinfetante aerosol spray pureza de algodão 360ml","32.90","lc025"
674,"limpeza","casa","desinfetante ajax bouquet de flores 500ml","6.90","lc045"
675,"limpeza","banheiro","desinfetante ajax flores de lavanda 500ml","6.90","lb027"
676,"limpeza","casa","desinfetante ajax fresh 500ml","9.50","lc063"
677,"limpeza","banheiro","desinfetante ajax fresh blue 500ml","9.50","lb036"
678,"limpeza","banheiro","desinfetante jimo antibac líquido lavanda 1 litro","14.95","lb017"
679,"limpeza","banheiro","desinfetante lysoform cloro gel original 500ml","21.79","lb010"
680,"limpeza","banheiro","desinfetante lysoform original 1 litro","16.90","lb035"
681,"limpeza","banheiro","desinfetante lysoform original 500ml","12.30","lb028"
682,"limpeza","banheiro","desinfetante lysoform original aparelho 500 ml","16.99","lb012"
683,"limpeza","banheiro","desinfetante lysoform suave odor 1 litro","16.90","lb013"
684,"limpeza","banheiro","desinfetante lysoform suave odor 500ml","12.30","lb020"
685,"limpeza","casa","desinfetante ypê bak turquesa 500ml","5.29","lc062"
686,"higiene e beleza","corpo","desodorante aerosol rexona cotton dry 90g","21.99","hbc013"
687,"higiene e beleza","corpo","desodorante dove aerosol original 150ml","24.95","hbc035"
688,"higiene e beleza","corpo","desodorante dove beauty finish 150ml","24.95","hbc012"
689,"higiene e beleza","corpo","desodorante dove era men+care invis dry","24.90","hbc026"
690,"higiene e beleza","corpo","desodorante dove rollon original 50ml","15.99","hbc024"
691,"higiene e beleza","corpo","desodorante dove sensitive skin sem perfume 150ml","24.95","hbc014"
692,"higiene e beleza","corpo","desodorante nivea aerosol dry confort 150ml","22.90","hbc038"
693,"higiene e beleza","corpo","desodorante nivea aerosol protect e care 150ml","22.90","hbc036"
694,"higiene e beleza","corpo","desodorante nivea rollon invisible men 50ml","13.50","hbc021"
695,"higiene e beleza","corpo","desodorante rexona active dry aerosol 150ml","21.99","hbc030"
696,"higiene e beleza","homem","desodorante rexona active dry aerosol 150ml","21.99","hbhm013"
697,"higiene e beleza","corpo","desodorante rexona rollon bamboo 50ml","14.50","hbc033"
698,"higiene e beleza","corpo","desodorante rexona rollon men invisible 50ml","14.50","hbc034"
699,"higiene e beleza","corpo","desodorante rexona rollon men v8 50ml","14.50","hbc015"
700,"higiene e beleza","corpo","desodorante rexona rollon sem perfume 50ml","14.50","hbc032"
701,"limpeza","casa","desodorizador glade automatic spray aparelho+refil lavanda & valilla 269ml","94.90","lc009"
702,"limpeza","cozinha","detergente em pó para louça advanced finish 450g","42.29","lcz014"
703,"padaria","doces e tortas","doce branquinho 12 unidades 240g doce amor","31.89","pdt011"
704,"padaria","doces e tortas","doce brigadeiro 12 unidades 240g doce amor","31.99","pdt005"
705,"mercearia","doces e sobremesas","doce dacolonia ambrosia 700g","32.90","mds009"
706,"mercearia","doces e sobremesas","doce dacolonia fios de ovos 550g","32.49","mds010"
707,"mercearia","alimentos especiais","doce de fruta bom principio abobora com coco light 400g","8.50","mae001"
708,"mercearia","alimentos especiais","doce de leite com coco flormel zero açúcar 20g","4.50","mae059"
709,"padaria","doces e tortas","doce paçoca 12 unidades 240g doce amor","39.98","pdt016"
710,"padaria","doces e tortas","docinhos de aniversário especial 600g (média 40 unidades)","55.00","pdt015"
711,"padaria","salgados","doguinho enrolado 380g","19.71","ps003"
712,"mercearia","temperos e condimentos","endro monopol 20g","2.00","mtc034"
713,"bebidas","águas e energéticos","energético baly cranberry 2 litros","14.90","bae006"
714,"bebidas","águas e energéticos","energético baly melancia 2 litros","14.90","bae028"
715,"bebidas","águas e energéticos","energético baly tropical 2 litros","14.90","bae032"
716,"bebidas","águas e energéticos","energético elev 269ml","5.99","bae017"
717,"bebidas","águas e energéticos","energético elev frutas tropicais 473ml","6.50","bae027"
718,"bebidas","águas e energéticos","energético elev original 2 litros","11.99","bae019"
719,"bebidas","águas e energéticos","energético monster green 473ml","9.99","bae029"
720,"bebidas","águas e energéticos","energético monster juice pacific punch 473ml","9.99","bae015"
721,"bebidas","águas e energéticos","energético red bull sugarfree lata 355ml","12.99","bae009"
722,"bebidas","águas e energéticos","engov after tangerina 250ml","9.90","bae008"
723,"carnes","bovina","entrecot 800g","64.90","cb014"
724,"higiene e beleza","higiene","enxaguante bucal oral B complete leve 500 e pague 300ml","23.90","hbh003"
725,"higiene e beleza","higiene","enxaguante bucal oral B hortelã 500ml","20.95","hbh006"
726,"mercearia","matinais","erva-mate barão nativa 1kg","19.90","mm020"
727,"congelados","legumes","ervilha congelada demarchi 300g","7.30","cl004"
728,"mercearia","conservas e enlatados","ervilha e milho oderich 300g","5.20","mce038"
729,"congelados","pratos prontos","escondidinho de carne moída sadia 600g","24.90","cpp020"
730,"congelados","pratos prontos","escondidinho de frango sadia 600g","24.90","cpp004"
731,"limpeza","banheiro","escova bettanin esfrebom unidade","18.90","lb006"
732,"limpeza","banheiro","escova bettanin jeans oval unidade","8.90","lb024"
733,"limpeza","banheiro","escova bettanin unha unidade","7.20","lb038"
734,"higiene e beleza","higiene","escova dental colgate dr. Rabbit","9.20","hbh021"
735,"higiene e beleza","higiene","escova dental colgate essencial clean macia","4.99","hbh023"
736,"higiene e beleza","higiene","escova dental colgate tandy 2 unidades","14.95","hbh017"
737,"higiene e beleza","higiene","escova dental colgate twister macia leve 2 pague 1","23.95","hbh025"
738,"limpeza","banheiro","escova sanitária bettanin vassourita 1 unidade","12.95","lb004"
739,"limpeza","casa","escovão bettanin p.forte unidade","49.90","lc051"
740,"limpeza","cozinha","escovão bettanin p.forte unidade","49.90","lcz034"
741,"carnes","churrasco","espeto de bambu 30cm com 50 unidades natural","7.50","cc001"
742,"hortifruti","verduras","espinfre molho","3.90","hv018"
743,"limpeza","cozinha","esponja esfrebom com proteção de unhas unidade","3.85","lcz035"
744,"limpeza","cozinha","esponja esfrebom multiuso com 1 unidade","1.49","lcz059"
745,"limpeza","cozinha","esponja esfrebom multiuso íons de prata unidade","11.00","lcz012"
746,"limpeza","cozinha","esponja esfrebom multiuso leve 4 e pague 3","5.65","lcz052"
747,"limpeza","cozinha","esponja esfrebom não risca unidade","3.50","lcz036"
748,"limpeza","cozinha","esponja jimo lav sec uso geral 2 unidades","6.80","lcz071"
749,"limpeza","cozinha","esponja limpeza delicada laranja scotch-brite com 3 unidades","8.50","lcz011"
750,"limpeza","cozinha","esponja scotch brite limpeza extrema leve 4 pague 3 unidade","7.50","lcz042"
751,"limpeza","cozinha","esponja scotch brite multiuso com 1 unidade","3.69","lcz072"
752,"higiene e beleza","homem","espuma de barbear nivea hidratante 200ml","37.90","hbhm003"
753,"higiene e beleza","homem","espuma de barbear nivea men sensitive 200ml","37.95","hbhm008"
754,"bebidas","espumantes","espumante aurora brut branco 750ml","44.90","be034"
755,"bebidas","espumantes","espumante aurora demi-sec 750ml","44.90","be035"
756,"bebidas","espumantes","espumante aurora prosecco 750ml","44.90","be013"
757,"bebidas","espumantes","espumante branco brut em lata lovin wine 269ml","24.90","be002"
758,"bebidas","espumantes","espumante casa don roman brut rosé 750ml","99.49","be033"
759,"bebidas","espumantes","espumante casa perini demi sec 750ml","49.90","be008"
760,"bebidas","espumantes","espumante casa perini demi sec cristal edition 750ml","64.90","be009"
761,"bebidas","espumantes","espumante casa perini ice 750ml","54.90","be005"
762,"bebidas","espumantes","espumante casa perini ice rosé 750ml","59.90","be006"
763,"bebidas","espumantes","espumante casa perini nature 750ml","114.90","be028"
764,"bebidas","espumantes","espumante casa perini prosecco 750ml","54.90","be032"
765,"bebidas","espumantes","espumante chandon brut rose 750ml","136.90","be020"
766,"bebidas","espumantes","espumante chandon demi sec 750ml","114.90","be021"
767,"bebidas","espumantes","espumante chandon passion rosé demi-sec 750ml","134.90","be036"
768,"bebidas","espumantes","espumante conde de foucauld brut rosé 750ml","33.90","be030"
769,"bebidas","espumantes","espumante freixenet carta nevada demi sec 200ml","44.90","be014"
770,"bebidas","espumantes","espumante freixenet cordon negro 200ml","44.90","be023"
771,"bebidas","espumantes","espumante freixenet cordon negro brut 750ml","86.90","be039"
772,"bebidas","espumantes","espumante freixenet cordon rosado 750ml","99.00","be015"
773,"bebidas","espumantes","espumante freixenet ice demi sec 750ml","99.90","be016"
774,"bebidas","espumantes","espumante freixenet ice rosé 750ml","99.90","be026"
775,"bebidas","espumantes","espumante freixenet prosecco doc 750ml","149.49","be027"
776,"bebidas","espumantes","espumante garibaldi ice zero álcool rosé 750ml","38.90","be012"
777,"bebidas","espumantes","espumante garibaldi moscatel rosé 750ml","38.90","be037"
778,"bebidas","espumantes","espumante garibaldi pinot noir rosé brut 750ml","44.90","be011"
779,"bebidas","espumantes","espumante garibaldi VG extra brut 750ml","64.90","be038"
780,"bebidas","espumantes","espumante miolo brut 750ml","71.90","be017"
781,"bebidas","espumantes","espumante miolo brut rosé 750ml","71.90","be018"
782,"bebidas","espumantes","espumante miolo demi sec 750ml","67.90","be019"
783,"bebidas","espumantes","espumante rivani pinot rose 750ml","67.90","be031"
784,"bebidas","espumantes","espumante terranova brut 750ml","39.90","be022"
785,"bebidas","espumantes","espumante terranova demi sec 750ml","39.90","be024"
786,"bebidas","espumantes","espumante terranova moscatel 750ml","36.95","be025"
787,"mercearia","alimentos especiais","extrato de baunilha bombay 30ml","39.90","mae009"
788,"mercearia","grãos e farináceos","farinha de amendoim dacolonia torrado sem pele 500g","14.90","mgf010"
789,"mercearia","grãos e farináceos","farinha de arroz blue ville sem gluten 1kg","7.69","mgf030"
790,"mercearia","grãos e farináceos","farinha de arroz tio João 1kg","8.50","mgf016"
791,"mercearia","grãos e farináceos","farinha de linhaça dourada leste 200g","8.49","mgf031"
792,"carnes","churrasco","farinha de mandioca cbs 500g","6.95","cc006"
793,"mercearia","grãos e farináceos","farinha de mandioca cbs 500g","6.95","mgf034"
794,"mercearia","grãos e farináceos","farinha de mandioca cbs torrada 500g","7.50","mgf006"
795,"mercearia","grãos e farináceos","farinha de mandioca fritz e frida 500g","6.20","mgf022"
796,"mercearia","grãos e farináceos","farinha de mandioca torrada fritz e frida 500g","7.50","mgf023"
797,"mercearia","grãos e farináceos","farinha de mandioca yoki 500g","8.90","mgf036"
798,"mercearia","grãos e farináceos","farinha de milho cbs fina 1kg","5.69","mgf017"
799,"mercearia","grãos e farináceos","farinha de milho fina fritz e frida 1kg","4.79","mgf024"
800,"mercearia","grãos e farináceos","farinha de milho grossa fritz e frida 1kg","4.99","mgf032"
801,"mercearia","grãos e farináceos","farinha de rosca cbs 500g","7.59","mgf039"
802,"mercearia","grãos e farináceos","farinha de rosca pullmann 500g","7.39","mgf038"
803,"mercearia","grãos e farináceos","farinha de trigo centeio orquídea 1kg","7.60","mgf004"
804,"mercearia","grãos e farináceos","farinha de trigo integral roseflor 1kg","5.20","mgf027"
805,"mercearia","grãos e farináceos","farinha de trigo orquídea 100% integral 1kg","6.99","mgf037"
806,"mercearia","grãos e farináceos","farinha orquídea multigrãos 1kg","7.60","mgf014"
807,"mercearia","grãos e farináceos","farinha panko orquídea 250g","11.29","mgf035"
808,"carnes","churrasco","farofa yoki com cebola 200g","7.95","cc031"
809,"carnes","churrasco","farofa yoki palha 200g","7.95","cc012"
810,"carnes","churrasco","farofa yoki suave 200g","7.90","cc016"
811,"carnes","churrasco","farofa yoki tradicional 250g","7.29","cc027"
812,"mercearia","arroz e feijão","feijão azuki blue ville 500g","12.99","maf016"
813,"mercearia","arroz e feijão","feijão branco blue ville 500g","6.90","maf023"
814,"mercearia","arroz e feijão","feijão branco fritz e frida 500g","10.90","maf033"
815,"mercearia","arroz e feijão","feijão branco namorado 500g","8.49","maf028"
816,"mercearia","arroz e feijão","feijão carioca blue ville 1kg","12.50","maf013"
817,"mercearia","arroz e feijão","feijão fradinho blue ville 500g","8.65","maf025"
818,"mercearia","arroz e feijão","feijão preto namorado 500g","6.69","maf035"
819,"mercearia","ingredientes","fermento biológico fleischmann 10g","2.30","mi039"
820,"mercearia","ingredientes","fermento biológico fleischmann leve 125g e pague 100g","10.50","mi033"
821,"mercearia","ingredientes","fermento em pó químico dr oetker 200g","8.90","mi026"
822,"mercearia","doces e sobremesas","figo seco uniagro 120g","15.90","mds012"
823,"mercearia","doces e sobremesas","figos inteiros schramm 440g","22.29","mds016"
824,"carnes","suinas","filé com bacon dália 500g","27.49","cs023"
825,"mercearia","temperos e condimentos","file de anchova em azeite agostino recca 56g","39.95","mtc036"
826,"carnes","peixes e crustáceos","file de cação anjo frumar 800g","39.90","cpc024"
827,"congelados","carnes aves e peixes","filé de cação anjo frumar 800g","39.90","ccap028"
828,"congelados","carnes aves e peixes","filé de cação gatuzo frumar 800g","37.90","ccap027"
829,"carnes","peixes e crustáceos","filé de cação gatuzo frumar 800g","37.90","cpc023"
830,"carnes","frango","filé de coxa e sobrecoxa de frango nat 1kg","18.99","cf009"
831,"congelados","carnes aves e peixes","filé de coxa e sobrecoxa nat verde 1kg","19.99","ccap018"
832,"carnes","frango","filé de coxa e sobrecoxa nat verde 1kg","19.99","cf020"
833,"congelados","petiscos e empanados","filé de frango empanado nature seara 300g","20.90","cpe009"
834,"carnes","frango","filé de frango sassami congelado nat 1kg","22.50","cf032"
835,"congelados","carnes aves e peixes","filé de frango sassami nat verde 1kg","23.99","ccap014"
836,"carnes","frango","filé de frango sassami nat verde 1kg","23.99","cf021"
837,"carnes","frango","filé de frango sassami sadia 1kg","25.99","cf016"
838,"congelados","carnes aves e peixes","filé de linguado frumar 500g","39.90","ccap006"
839,"carnes","peixes e crustáceos","filé de linguado frumar 500g","39.90","cpc007"
840,"congelados","carnes aves e peixes","filé de merluza frumar 800g","44.90","ccap005"
841,"carnes","peixes e crustáceos","filé de merluza frumar 800g","44.90","cpc006"
842,"congelados","carnes aves e peixes","filé de panga frumar 800g","36.90","ccap009"
843,"carnes","peixes e crustáceos","filé de panga frumar 800g","36.90","cpc008"
844,"carnes","frango","filé de peito de frango ave serra 750g","22.49","cf028"
845,"carnes","frango","filé de peito de frango fatiado nat verde 1kg","17.99","cf029"
846,"congelados","carnes aves e peixes","filé de peito de frango nat verde 1kg","23.99","ccap017"
847,"carnes","frango","filé de peito de frango nat verde 1kg","23.99","cf015"
848,"carnes","frango","filé de peito fatiado congelado nat 1kg","20.99","cf030"
849,"carnes","frango","filé de peito frango congelado sadia 1kg","27.99","cf031"
850,"congelados","carnes aves e peixes","filé de peito nat congelado 1kg","23.99","ccap011"
851,"carnes","frango","filé de peito nat congelado 1kg","23.99","cf008"
852,"carnes","peixes e crustáceos","filé de salmão em pedaços seara 500g","52.90","cpc018"
853,"congelados","carnes aves e peixes","filé de salmão frumar 1,5kg","143.85","ccap026"
854,"carnes","peixes e crustáceos","filé de salmão frumar 1,5kg","143.85","cpc022"
855,"congelados","carnes aves e peixes","filé de salmão komdelli 250g","34.95","ccap013"
856,"carnes","peixes e crustáceos","filé de salmão komdelli 250g","34.95","cpc009"
857,"congelados","carnes aves e peixes","filé de salmão komdelli 500g","59.90","ccap012"
858,"carnes","peixes e crustáceos","filé de salmão komdelli 500g","59.90","cpc013"
859,"congelados","carnes aves e peixes","filé de tilápia com manjericão komdelli 250g","22.95","ccap004"
860,"carnes","peixes e crustáceos","filé de tilápia com manjericão komdelli 250g","22.95","cpc005"
861,"congelados","carnes aves e peixes","filé de tilápia frumar 500g","36.59","ccap020"
862,"carnes","peixes e crustáceos","filé de tilápia frumar 500g","36.59","cpc015"
863,"congelados","carnes aves e peixes","filé de tilápia komdelli 400g","32.90","ccap015"
864,"carnes","peixes e crustáceos","filé de tilápia komdelli 400g","32.90","cpc012"
865,"congelados","carnes aves e peixes","filé de violinha (cascudo) frumar 800g","39.90","ccap002"
866,"carnes","peixes e crustáceos","filé de violinha (cascudo) frumar 800g","39.90","cpc001"
867,"carnes","bovina","filé mignon bovino 400g","44.15","cb003"
868,"carnes","frango","filé peito de frango resfriado agrosul 700g","19.98","cf024"
869,"mercearia","conservas e enlatados","files de atum em azeite de oliva gomes da costa 125g","16.29","mce019"
870,"mercearia","conservas e enlatados","files de atum em azeite e alho gomes da costa 125g","16.29","mce033"
871,"mercearia","conservas e enlatados","files de sardinha em molho de tomate gomes da costa 125g","13.99","mce012"
872,"mercearia","conservas e enlatados","files de sardinha em óleo com limão gomes da costa 125g","13.99","mce013"
873,"carnes","frango","filezinho de frango sassami sadia orgânico 600g","37.99","cf003"
874,"higiene e beleza","higiene","fio dental oral essencial floss 50 m","22.50","hbh033"
875,"mercearia","ingredientes","fios de ovos natal 250g","14.99","mi014"
876,"frios e laticínios","lácteos","flan nestlé baunilha com calda de caramelo 200g","4.75","flla042"
877,"mercearia","doces e sobremesas","flocos de arroz dacolonia 100g","7.50","mds022"
878,"limpeza","casa","folha de ofício chamequinho branca com 100","8.10","lc047"
879,"mercearia","alimentos especiais","fondant de leite com coco zero 25g - phinus","5.00","mae051"
880,"frios e laticínios","derivados de queijo","fondue de 4 queijos santa clara 400g","35.90","fldq042"
881,"frios e laticínios","derivados de queijo","fondue de cheddar polengui 400g","28.90","fldq049"
882,"mercearia","bomboniere","fondue de chocolate branco santa clara 400g","35.90","mb025"
883,"frios e laticínios","derivados de queijo","fondue de queijo campo lindo 400g","37.50","fldq029"
884,"frios e laticínios","derivados de queijo","fondue de queijo gorgonzola são vicente 400g","40.90","fldq002"
885,"frios e laticínios","queijos","fondue de queijo gorgonzola são vicente 400g","40.90","flq001"
886,"frios e laticínios","derivados de queijo","fondue de queijo gruyère são vicente 400g","40.90","fldq031"
887,"frios e laticínios","derivados de queijo","fondue de queijo polengui 400g","36.90","fldq040"
888,"frios e laticínios","derivados de queijo","fondue queijo santa clara 400g","35.90","fldq043"
889,"limpeza","casa","fósforos fiat lux extra longos com 50 unidades","5.99","lc055"
890,"higiene e beleza","bebê e infantil","fralda huggies supreme care jumbo G com 20 unidades","44.90","hbbi003"
891,"higiene e beleza","bebê e infantil","fralda huggies supreme care jumbo M 24 unidades","44.90","hbbi028"
892,"higiene e beleza","bebê e infantil","fralda huggies supreme care jumbo XG com 16 unidades","30.50","hbbi013"
893,"higiene e beleza","bebê e infantil","fralda huggies tripla proteção jumbinho P 18 unidades","27.95","hbbi004"
894,"higiene e beleza","bebê e infantil","fralda pampers confort sec G com 20 unidades","49.95","hbbi012"
895,"higiene e beleza","bebê e infantil","fralda pampers confort sec XG com 18 unidades","49.95","hbbi011"
896,"carnes","frango","frango a passarinho congelado sadia 1kg","13.99","cf006"
897,"bebidas","refrigerantes","frukito sabor uva fruki 2 litros","5.99","br004"
898,"hortifruti","frutas","frutas cristalizadas jtc 160g","7.60","hf028"
899,"bebidas","águas e energéticos","gatorade uva 500ml","6.95","bae016"
900,"carnes","churrasco","gel acendedor zeppelin 440g","10.50","cc026"
901,"limpeza","casa","gel acendedor zeppelin 440g","10.50","lc065"
902,"mercearia","doces e sobremesas","gelatina royal uva 25g","2.69","mds029"
903,"mercearia","doces e sobremesas","gelatina royal zero morango 12g","5.50","mds030"
904,"mercearia","doces e sobremesas","geleia bom principio abacaxi 250g","12.59","mds023"
905,"mercearia","doces e sobremesas","geleia bom principio goiaba diet 230g","13.95","mds021"
906,"mercearia","alimentos especiais","geleia bom principio morango diet 230g","14.99","mae044"
907,"mercearia","doces e sobremesas","geleia casa madeira de amora 240g","37.90","mds039"
908,"mercearia","doces e sobremesas","geleia casa madeira gourmet frutas vermelhas 240g","29.90","mds003"
909,"mercearia","doces e sobremesas","geleia de damasco casa madeira 240g","19.90","mds026"
910,"mercearia","doces e sobremesas","geleia de frutas vermelhas queensberry classic 320g","26.95","mds037"
911,"mercearia","doces e sobremesas","geleia de limão siciliano alecrim artesanal lyovibes vidro 185g","23.29","mds015"
912,"mercearia","doces e sobremesas","geleia de malbec casa madeira 240g","29.90","mds027"
913,"mercearia","doces e sobremesas","geleia de morango queensberry classic 320g","26.95","mds035"
914,"mercearia","doces e sobremesas","geleia de pimenta casa madeira 220g","29.90","mds028"
915,"mercearia","doces e sobremesas","geleia de uva casa madeira 240g","19.90","mds025"
916,"mercearia","doces e sobremesas","geleia gourmet bom principio maracujá com pimenta 250g","17.95","mds020"
917,"mercearia","doces e sobremesas","geleia queensberry class mirtilo 320g","26.95","mds036"
918,"mercearia","doces e sobremesas","geleia ritter gourmet amora 310g","17.29","mds002"
919,"hortifruti","temperos frescos","gengibre dico 250g","4.99","htf010"
920,"bebidas","destilados","gin beefeater london dry 750ml","189.90","bd014"
